time,knee_angle_r,knee_angle_l,ankle_angle_r,ankle_angle_l,hip_flexion_r,hip_flexion_l,,,,,,,,,,,,,
0,-0.655062236,-0.651683576,0.018021051,0.060538506,-0.227472373,-0.121890008,,,,,,,,,,,,,
0.02,-0.668484192,-0.661657765,0.014406583,0.060065585,-0.251395995,-0.171616098,,,,,,,,,,,,,
0.04,-0.705398678,-0.680856759,0.006599005,0.05963791,0.191307299,-0.419122791,,,,,,,,,,,,,
0.06,-0.76865203,-0.703996151,-0.003244432,0.059932751,0.794871892,-0.734041603,,,,,,,,,,,,,
0.08,-0.852562628,-0.725731551,-0.015197273,0.061960936,1.22093255,-1.005212215,,,,,,,,,,,,,
0.1,-0.949435917,-0.741265861,-0.027324188,0.066242735,1.660066208,-1.290911841,,,,,,,,,,,,,
0.12,-1.052569588,-0.748813738,-0.035065813,0.071440298,2.383743936,-1.611181348,,,,,,,,,,,,,
0.14,-1.153476222,-0.74819846,-0.037853627,0.077084894,2.921033285,-1.831865681,,,,,,,,,,,,,
0.16,-1.239151262,-0.739527573,-0.040006356,0.083988675,2.77944092,-1.840036923,,,,,,,,,,,,,
0.18,-1.300796671,-0.722464799,-0.040345137,0.091128115,2.567162621,-1.785838679,,,,,,,,,,,,,
0.2,-1.338956102,-0.699718453,-0.033985898,0.096986145,2.830838385,-1.820168978,,,,,,,,,,,,,
0.22,-1.352694331,-0.675600852,-0.022895545,0.102490755,2.942532852,-1.833405289,,,,,,,,,,,,,
0.24,-1.339423046,-0.651899017,-0.016524357,0.108638284,2.421748375,-1.650024122,,,,,,,,,,,,,
0.26,-1.299434692,-0.628974456,-0.019510444,0.114022857,1.864624067,-1.356543971,,,,,,,,,,,,,
0.28,-1.236467151,-0.608117249,-0.024340366,0.118063586,1.638567688,-1.217117986,,,,,,,,,,,,,
0.3,-1.153989991,-0.590944689,-0.024443343,0.121645292,1.559403964,-1.157028012,,,,,,,,,,,,,
0.32,-1.055906225,-0.577852046,-0.022157642,0.12390401,1.552279794,-1.030459946,,,,,,,,,,,,,
0.34,-0.947289151,-0.568958802,-0.020779494,0.123836812,1.381015401,-0.947495792,,,,,,,,,,,,,
